12,15,+,1
15,17,+,1
24,20,+,2
24,20,+,2
13,9,+,2
13,9,+,2
1,4,+,1
1,3,+,1
6,4,-,2
4,3,-,2
0,2,+,1
0,1,+,1
9,4,+,2
4,3,+,2
2,7,+,1
7,9,-,1
25,22,+,2
22,20,+,2
9,14,+,1
12,14,+,1
20,15,+,2
15,10,+,2
6,1,-,2
6,1,+,2
0,4,+,1
4,5,+,1
10,4,+,2
8,4,+,2
12,16,+,1
16,17,+,1
13,10,+,2
13,10,+,2
8,5,-,2
8,5,+,2
15,20,+,1
15,19,+,1
20,15,+,2
20,15,+,2
15,10,+,2
15,10,+,2
12,18,+,1
18,20,+,1
25,23,+,2
8,5,+,2
20,21,+,1
20,21,+,1
21,22,+,1
22,23,-,1
10,5,+,2
5,2,+,2
15,18,+,1
18,19,+,1
6,5,+,2
4,0,+,2
19,25,+,1
20,22,+,1
6,0,+,2
6,5,+,2
20,25,+,1
22,25,+,1
25,19,+,2
13,12,+,2
21,25,+,1
24,25,+,1
19,16,+,2
11,6,+,2
20,25,+,1
24,25,+,1
16,13,+,2
13,10,+,2
13,10,+,2
8,5,+,2
20,25,+,1
23,24,+,1
12,6,+,2
10,6,+,2
21,25,+,1
24,25,+,1
11,6,+,2
8,5,+,2
22,25,+,1
22,25,+,1
23,25,+,1
24,23,+,2
13,11,+,2
1,5,+,1
1,2,+,1
13,9,+,2
13,9,+,2
9,5,-,2
9,5,+,2
17,23,-,1
19,23,+,1
25,21,+,2
25,21,+,2
6,2,-,2
6,2,+,2
0,5,+,1
1,3,+,1
21,15,+,2
15,13,+,2
3,5,+,1
14,17,+,1
21,16,+,2
16,11,+,2
13,8,+,2
11,6,+,2
5,10,+,1
10,12,+,1
8,3,+,2
6,3,+,2
12,17,+,1
19,20,+,1
13,8,+,2
13,8,+,2
8,3,+,2
6,1,+,2
17,22,+,1
20,22,+,1
8,3,+,2
3,2,+,2
17,20,+,1
17,20,+,1
19,22,+,1
20,23,+,1
13,7,+,2
13,7,+,2
13,7,+,2
7,1,+,2
5,11,+,1
12,13,+,1
8,3,+,2
8,3,+,2
8,3,+,2
7,2,+,2
11,16,+,1
16,19,+,1
7,1,+,2
3,0,+,2
12,16,+,1
16,19,+,1
6,1,+,2
3,0,+,2
13,17,+,1
17,19,+,1
6,1,+,2
3,0,+,2
17,19,+,1
20,21,+,1
2,0,+,2
2,0,+,2
2,0,+,2
2,0,+,2
19,20,+,1
21,25,+,1
3,0,+,2
3,0,+,2
19,23,+,1
20,25,+,1
